brand,seed,channel,planted,n,point_forest,ai_lo,ai_hi,ai_se,dr_ate,dr_se,ldml_ate,ldml_lo,ldml_hi,ldml_se,t_forest,t_ldml
Remibrutinib,427,engagement_score,0.138,3354,0.1485950103011851,-0.0015324671035299442,0.2987224877059001,0.07659705862184969,0.16425887925754287,0.02190397085923372,0.14841081968776287,0.11409184402577453,0.1827297953497512,0.017510003210616132,2.5,1.0
Remibrutinib,427,peer_influence_score,0.093,3354,0.10008937019386073,-0.061456596132607136,0.26163533652032855,0.08242292528151937,0.0934756801803783,0.024682058536268946,0.1061144474616448,0.0708419131211529,0.1413869818021367,0.017996521680355943,2.0,0.9
Remibrutinib,427,rep_training_score,0.0,3354,0.053911486409724284,-0.09176903952759732,0.19959201234704585,0.07432816415879148,0.04719631183715232,0.01984303020619,0.055628375716751506,0.022346326880741972,0.08891042455276103,0.016980949190155577,2.1,0.9
Remibrutinib,1001,engagement_score,0.138,3354,0.12537791634615866,-0.026386329951517573,0.27714216264383484,0.07743216013032699,0.13309043454829267,0.02232764700891055,0.12799145316060617,0.09310060571875109,0.16288230060246123,0.017801779888339593,2.0,0.8
Remibrutinib,1001,peer_influence_score,0.093,3354,0.10862723035924914,-0.042968005111462135,0.2602224658299604,0.07734592853272369,0.11941935483708524,0.02540027126779417,0.11775451532243997,0.08234651355714386,0.15316251708773607,0.018065638983465974,2.4,1.2
Remibrutinib,1001,rep_training_score,0.0,3354,-0.01790829678370924,-0.18438497731512454,0.14856838374770603,0.08493864200128945,-0.014211562406990367,0.019726312773503684,-0.016121880939976973,-0.049472850449136865,0.017229088569182916,0.017016113445057195,2.4,1.0
Remibrutinib,1002,engagement_score,0.138,3354,0.1498631218577664,-0.013368829673834404,0.31309507338936715,0.08328313761456882,0.15146344665102646,0.022005428084793357,0.15077830278527493,0.1162526807819324,0.18530392478861746,0.017615436954799283,2.3,1.1
Remibrutinib,1002,peer_influence_score,0.093,3354,0.1065967919199431,-0.05768728678329092,0.27088087062317706,0.08381994705169789,0.11636552161753944,0.027252696697933634,0.11443450075712668,0.07937150272755095,0.1494974987867024,0.01788961343481216,2.2,1.0
Remibrutinib,1002,rep_training_score,0.0,3354,0.012834318462067071,-0.14331088603581119,0.16897952295994528,0.0796673839406633,0.012257608376833264,0.019812272895118624,0.014573044142662361,-0.018384859254647508,0.047530947539972224,0.01681556582533026,2.5,1.1
Remibrutinib,1003,engagement_score,0.138,3354,0.1542160054901969,-0.0029679225286579625,0.3113999335090517,0.08019735465490939,0.15477237463627364,0.021363766818682885,0.1597334073070979,0.12561236129387515,0.19385445332032064,0.01740901684029155,2.8,1.6
Remibrutinib,1003,peer_influence_score,0.093,3354,0.044843822750525994,-0.11956807038765078,0.20925571588870273,0.0838851596958805,0.0603956002420549,0.025043070790496096,0.052433321142148784,0.017516656558857743,0.08734998572543981,0.01781495214131955,3.2,1.4
Remibrutinib,1003,rep_training_score,0.0,3354,0.006232983838242726,-0.14410770409017,0.15657367176665543,0.07670584149934015,0.011442302819029831,0.019168279983602425,0.009694917405409429,-0.023121124131003323,0.04251095894182218,0.01674318599487618,3.3,1.8
Remibrutinib,1004,engagement_score,0.138,3354,0.1370364057629834,-0.021886803033817542,0.2959596145597843,0.08108475910618815,0.14873829496394464,0.022344554042443242,0.1388164912010355,0.10389607532369036,0.17373690707838063,0.017816866102026836,2.9,1.2
Remibrutinib,1004,peer_influence_score,0.093,3354,0.08309572162561582,-0.06999059652554865,0.23618203977678026,0.07810669897567735,0.09511917625275537,0.02427468231966213,0.0912956152198406,0.05638103875955764,0.12621019168012354,0.017813886752861115,2.6,1.2
Remibrutinib,1004,rep_training_score,0.0,3354,0.03512325631249016,-0.1250571090127034,0.19530362163768367,0.0817261772793753,0.028472792837270996,0.020072869070030683,0.03180878535298156,-0.0015519516877958509,0.06516952239375896,0.017021096971129388,3.0,1.1
Remibrutinib,1005,engagement_score,0.138,3354,0.16475195183321364,-0.00154278228887339,0.3310466859553006,0.08484581049554328,0.16910764001777281,0.02143224379219164,0.16139651193265248,0.12632410626738377,0.19646891759792118,0.017894413337140567,3.1,1.2
Remibrutinib,1005,peer_influence_score,0.093,3354,0.09879957070171914,-0.07705788592059014,0.27465702732402836,0.08972484016150768,0.12376418706215904,0.028815195621922706,0.1118661609774096,0.07635215473457915,0.14738016722024005,0.018119723894398258,2.8,1.2
Remibrutinib,1005,rep_training_score,0.0,3354,0.00012561867622837744,-0.15730325043116664,0.15755448778362335,0.08032232689345059,-0.0003972439364192907,0.019969120620256832,0.006019650857119079,-0.027620170145695067,0.03965947185993322,0.01716348936417238,2.7,1.1
